

iteration	best results	gbest
3, 44, 81, 19, 95, 72, 86, 63, 13, 22, 67, 45, 17, 92, 85, 50, 41, 79, 27, 11, 7, 9, 28, 1, 12, 62, 61, 75, 77, 66, 39, 91, 4, 43, 52, 51, 68, 34, 5, 49, 31, 0, 23, 35, 21, 48, 74, 54, 32, 38, 58, 88, 90, 2, 29, 6, 36, 37, 73, 60, 42, 76, 26, 65, 82, 53, 55, 18, 14, 25, 33, 46, 80, 83, 59, 93, 94, 89, 64, 20, 87, 78, 16, 30, 69, 56, 47, 71, 70, 57, 40, 24, 10, 84, 15, 8, 


iteration	best results	gbest
0		25893	25893
1		25745	25745
2		23519	23519
3		23519	23519
4		23519	23519
5		23519	23519
6		23519	23519
7		23519	23519
8		23519	23519
9		23519	23519
10		23519	23519
11		23519	23519
12		23519	23519
13		23519	23519
14		23519	23519
15		23519	23519
16		23519	23519
17		23175	23175
18		23175	23175
19		23175	23175
20		23175	23175
21		23175	23175
22		23175	23175
23		23175	23175
24		23175	23175
25		23175	23175
26		23175	23175
27		23175	23175
28		23175	23175
29		23175	23175
30		23175	23175
31		23175	23175
32		23175	23175
33		23175	23175
34		23175	23175
35		23175	23175
36		23175	23175
37		23175	23175
38		23175	23175
39		23175	23175
40		23175	23175
41		23175	23175
42		23175	23175
43		23175	23175
44		23175	23175
45		23175	23175
46		23175	23175
47		23175	23175
48		23175	23175
49		23175	23175
50		23175	23175
51		23175	23175
52		23175	23175
53		23175	23175
54		23175	23175
55		23175	23175
56		23175	23175
57		23175	23175
58		23175	23175
59		23175	23175
60		23175	23175
61		23175	23175
62		23175	23175
63		23175	23175
64		23175	23175
65		23175	23175
66		23175	23175
67		23175	23175
68		23175	23175
69		23175	23175
70		23175	23175
71		23175	23175
72		23175	23175
73		23175	23175
74		23175	23175
75		23175	23175
76		23175	23175
77		23175	23175
78		23175	23175
79		23175	23175
80		23175	23175
81		23175	23175
82		23175	23175
83		23175	23175
84		23175	23175
85		23175	23175
86		23175	23175
87		23175	23175
88		23175	23175
89		23175	23175
90		23175	23175
91		23175	23175
92		23175	23175
93		23175	23175
94		23175	23175
95		23175	23175
96		23175	23175
97		23175	23175
98		23175	23175
99		23175	23175
best position:
38, 32, 26, 50, 11, 23, 16, 2, 44, 0, 19, 4, 45, 49, 14, 20, 29, 10, 12, 31, 18, 30, 9, 8, 47, 25, 13, 24, 27, 51, 41, 6, 22, 43, 46, 5, 21, 37, 48, 17, 39, 3, 42, 7, 36, 28, 40, 35, 33, 34, 1, 15, 
